id,Data,Pais,Estado,Setor_Industrial,Nivel_Acidente,Nivel_Acidente_Potencial,Genero,Tipo_Trabalhador,Risco_Critico,Descricao
11,2016-01-30 00:00:00,Brasil,Minas Gerais,Mineração,I - Muito Baixo,IV - Alto,Homem,Terceiro,Outros,"Ao preparar o arroz para o almoço do dia, ao movimentar a panela # 60 - 35 Kg de peso incluindo o conteúdo - para evacuar a água residual do cozimento do arroz, ao posicionar a panela sobre uma jaba ela inclina para trás derramando cerca de 200 ml de água quente na perna do cozinheiro. O cozinheiro logo após o evento aplica os primeiros socorros, despeja água fria no local da lesão e se dirige ao posto médico para avaliação."
12,2016-02-01 00:00:00,EUA,California,Metalurgia,I - Muito Baixo,I - Muito Baixo,Homem,Funcionário,Metal líquido,O colaborador relata que estava trabalhando na Ustulación e percebeu que o duto do ciclone estava obstruído e abriu a porta para tentar desobstruir o mesmo e o material se desprendeu e foi projetado em direção ao funcionário causando pequena queimadura no calcanhar direito.
13,2016-02-02 00:00:00,Brasil,São Paulo,Mineração,IV - Alto,V - Muito Alto,Homem,Terceiro,Instalação elétrica,"Nos momentos que o operador do Jumbo 2, tentou energizar seu equipamento para proceder à instalação do conjunto 4 split no cruzamento 544 da Nv 3300, retirar a trava e abrir o quadro elétrico de 440V e 400A, e ao levantar a chave termomagnética esta faz contato fase-terra - fase em contato com o invólucro do painel - produzindo um clarão que atinge o operador causando o ferimento descrito."
14,2016-02-04 00:00:00,EUA,California,Metalurgia,I - Muito Baixo,III - Médio,Homem,Funcionário,Espaço confinado,"Devido ao acúmulo de Waelz na esteira e reboque do Filtro 08FI0502, o funcionário realizava a limpeza da veneziana utilizando a lança de ar, quando foi surpreendido pela queda do produto que estava acima da porta, passando entre o pescoço e a gola da jaqueta de aramida e causando queimadura no pescoço e ombro."
15,2016-02-04 00:00:00,EUA,California,Metalurgia,I - Muito Baixo,IV - Alto,Homem,Funcionário,Metal líquido,"O funcionário trabalhava no Quando um choque térmico provocou um respingo de zinco em sua direção, o funcionário, apesar de utilizar todos os EPIs indicados, foi atingido por pequenos respingos que passaram entre a instalação e o capô. pequena queimadura na região do rosto."
16,2016-02-06 00:00:00,Brasil,Rio de Janeiro,Mineração,III - Médio,IV - Alto,Homem,Terceiro,Outros,"No Rp 050 do nível 1620, em circunstâncias onde os trabalhadores da empresa estavam realizando a tarefa de perfuração de diamante, os auxiliares Jhonatan (lesado) e Nilton se preparavam para aumentar o tubo de perfuração HQ localizado no andaime, o Sr. Cano HQ que está no andaime para posicionar na moldura, a parte superior do cano sai da polia caindo e atingindo a mão direita do trabalhador jhonatan contra parafusos que tem a parte lateral da mesma moldura causando a lesão descrita."
17,2016-02-07 00:00:00,Brasil,Bahia,Metalurgia,I - Muito Baixo,II - Baixo,Mulher,Terceiro,Outros,"Devido ao superaquecimento de 2 barras da fileira 5 da cela 7 é produzida uma faísca, que é projetada e consegue atingir o Chefe da Guarda que estava no corredor, produzindo uma queimadura de primeiro grau no pescoço."
18,2016-02-08 00:00:00,Brasil,Bahia,Metalurgia,I - Muito Baixo,II - Baixo,Homem,Funcionário,Outros,"Uma roda auxiliar do guindaste catódico G2133 foi trocada na área 75, quando um rolamento foi aquecido e atingido com martelo e cinzel em uma das extremidades da pista do rolamento, ocorreu o desprendimento de uma peça do rolamento, impactando-a na coxa da perna direita produzindo um corte. A ambulância é chamada e você é transferido para a clínica."
19,2016-02-21 00:00:00,Brasil,Bahia,Metalurgia,I - Muito Baixo,III - Médio,Homem,Funcionário,Outros,"O operário Manuel estava desconectando os cabos de energia do portão que fica no cruzamento das ruas Manco com Cajamarquilla para retirá-lo. Nas circunstâncias em que o Sr. José, funcionário da empresa ITS, estava retirando a corda amarrada no corpo do portão, este cede e cai puxando o poste de alerta que atinge o capacete do Sr. que estava ao seu lado."
20,2016-02-25 00:00:00,Brasil,Bahia,Metalurgia,I - Muito Baixo,II - Baixo,Homem,Terceiro,Outros,"Às 14h16, o operador Samuel estava prestes a abrir o contêiner para posterior carregamento com concentrado de prata e abriu o primeiro portão. Em seguida, ele tenta abrir a segunda porta e é quando produto da abertura desta última, a primeira se abre e bate com a maçaneta na lente de segurança e gera a lesão na maçã do rosto esquerda do rosto do operador."
21,2016-02-09 00:00:00,Brasil,Minas Gerais,Mineração,I - Muito Baixo,IV - Alto,Homem,Terceiro,Outros,"Na câmara de elevação, quando o operador e o assistente removeram a barra de perfuração da furadeira 71R - peso aprox. 500 Kg - segurando-o na parte superior com um golpe de 2 TM e auxiliado pelas lanças para se mover horizontalmente, a lança do operador na parte inferior desliza movimentando a parte superior da barra de perfuração fazendo com que a barra do auxiliar force a mão do seu auxiliar entre a barra e o pistão do equipamento."
22,2016-02-10 00:00:00,Brasil,Minas Gerais,Mineração,II - Baixo,IV - Alto,Homem,Terceiro,Outros,"Ao alinhar o suporte direito da torre N°32, ao liberar a tensão aplicada pelo tirford de 1,5 Tn, ao empurrar a alavanca em direção ao ponto de liberação da tensão, ela retorna por efeito mecânico vencendo a resistência do eletricista e remodelando as mãos do auxiliar batendo no auxiliar na região frontal."
23,2016-02-15 00:00:00,EUA,Texas,Mineração,II - Baixo,II - Baixo,Homem,Terceiro (Remoto),Outros,"Ao afrouxar o parafuso do cilindro de direção do caminhão A30-29 por meio de cabo de alimentação e soquete, com a força exercida em favor do equipamento, o parafuso se soltou repentinamente e o funcionário bateu com a mão na estrutura do equipamento, causando ferimentos."
24,2016-02-14 00:00:00,Brasil,Bahia,Metalurgia,I - Muito Baixo,II - Baixo,Homem,Terceiro,Outros,"Um operador da deslaminadora G-2142 no trecho 75 estava destravando uma chapa de zinco presa para que ela possa entrar na corrediça da mesa empilhadora, para isso necessita do apoio do Sr. Mollares e isso ajuda a segurar a chapa para colocá-la na calha de entrada da corrediça. No momento de soltar a lâmina, ela se inclinou e roçou a perna esquerda do Sr. Mollares. O colaborador dirigiu-se ao lava-olhos próximo para limpeza e imediatamente ao posto médico."
25,2016-02-15 00:00:00,Brasil,Bahia,Metalurgia,I - Muito Baixo,II - Baixo,Homem,Funcionário,Ferramentas manuais,"O operador estava disposto a deslocar manualmente a folha de zinco aderida ao cátodo de alumínio. No momento em que a lâmina foi destacada, a lâmina foi liberada do cátodo, dobrando e roçando a mão direita do colaborador, produzindo 2 pequenos cortes nas juntas dos dedos, o trabalhador fez uso de luvas. couro. O trabalhador é transferido para a unidade médica para primeiros socorros."
26,2016-02-13 00:00:00,Brasil,São Paulo,Mineração,I - Muito Baixo,I - Muito Baixo,Homem,Funcionário,Outros,"Ao final do almoço em local habilitado ao lado da sala de controle do guincho. Ele se levanta e após uma curta caminhada escorrega e senta com o chão e fazendo contato com o joelho esquerdo e não tomando importância no descanso da guarda, quando a guarda termina, ele vai para a segurança e comunica o fato, por isso é derivado Natclar, para sua atenção."
27,2016-02-15 00:00:00,Brasil,Minas Gerais,Mineração,I - Muito Baixo,III - Médio,Homem,Terceiro,Outros,"No final da quebra de pedra no cruzamento da rampa -1055 e na abertura de acesso à chaminé de ventilação, o mestre carregador identifica pedras na malha procedendo à sua descarga, no final decide verificar se ainda existem restos posicionando-se sob a linha de fogo, momento em que cai um fragmento de rocha - 5x4x3cm.; 180 gr - entre a malha da cocada impactando entre a lente e o capacete causando a lesão."
28,2016-02-16 00:00:00,Brasil,São Paulo,Mineração,I - Muito Baixo,IV - Alto,Homem,Funcionário,Outros,"O trabalhador realizou o seu trabalho no nível 2940, parada 896; e colocou a malha de metal na cesta (SOLO MEIO) da Tesoura a malha cai e bate nas costas da mão direita."
29,2016-02-16 00:00:00,EUA,Arizona,Mineração,II - Baixo,III - Médio,Homem,Funcionário,Outros,"Ao usar a chave inglesa para desparafusar a haste da sonda, a chave passou a se mover pressionando o dedo do funcionário contra a sonda."
30,2016-02-17 00:00:00,Brasil,Minas Gerais,Mineração,I - Muito Baixo,II - Baixo,Homem,Funcionário,Outros,"Quando o operador da usina estava semi-ajoelhado ao levantar a tampa ou comporta (15 kg) da caixa distribuidora do moinho secundário nº 4 e nº 5, seu joelho direito escorrega devido à presença de detritos derramados na plataforma ou no chão (Grade) – o que lhe conferiu um esforço extra na perna esquerda, gerando uma contratura muscular."
31,2016-02-19 00:00:00,Brasil,Minas Gerais,Mineração,I - Muito Baixo,II - Baixo,Homem,Funcionário,Outros,"No nível -1095 - Acesso 6 A2 - nos momentos em que o engenheiro estagiário Planamieto entrava para verificar a quantidade de conjunto dividido colocado pela Tesoura 184 no suporte - segurando seu caderno e caneta na mão esquerda - ao inspecionar o telhado da obra, perdeu o equilíbrio ao pisar em uma pedra segurando a mão direita em uma pedra no chão causando o ferimento. O trabalhador no momento do acidente usava luvas, mas não as utilizou porque dificultava a anotação."
32,2016-02-21 00:00:00,Brasil,São Paulo,Mineração,III - Médio,IV - Alto,Homem,Terceiro,Outros,"O operário Yaranga enquanto trabalhava com a barretilla na parada 996, nível 3300. Ao descarregar a malha metálica, na cesta de um ampoloader com seu operador Juan a barretilla é encaixada na bota de segurança, reagindo imediatamente o operário retirando o membro com força e conseguindo soltar o pé, mas produzindo um ferimento no pé direito."
33,2016-02-20 00:00:00,Brasil,Rio de Janeiro,Mineração,V - Muito Alto,V - Muito Alto,Homem,Terceiro,Outros,"Aproximadamente 13h40. nas circunstâncias em que o concreto projetado foi lançado no Nv. 1680 BP 255 do OB2B, após terminar o lançamento do primeiro mixkret 113, o assistente do alfa, Sr. Albertico solicita ao operador do mixkret 113, Sr. Quando a equipe começou, ele percebeu que o Sr. Danon (lesionado) estava preso entre a equipe (altura do aro traseiro esquerdo) e o Hastial de la Labor."
34,2016-02-15 00:00:00,EUA,California,Metalurgia,I - Muito Baixo,II - Baixo,Homem,Funcionário,Outros,"O funcionário estava limpando o cano quando bateu com o polegar direito no flange, causando pouco trauma."
35,2016-02-18 00:00:00,EUA,California,Metalurgia,I - Muito Baixo,III - Médio,Homem,Terceiro (Remoto),Prensado,"Ao substituir a junta de dilatação telescópica do tubo de PEAD do sistema de bombeamento de drenagem pluvial, relata que a peça se moveu involuntariamente ao ser posicionada no suporte, pressionando o dedo contra o suporte, causando ferimento 1 quimio direito."
36,2016-02-22 00:00:00,Brasil,São Paulo,Mineração,I - Muito Baixo,IV - Alto,Homem,Terceiro,Outros,"Durante a retirada da barra Kelly (barra condutora de 45 Kg, 1,5 m de comprimento e 10 cm de diâmetro) do equipamento de perfuração por parte de dois trabalhadores, um deles é posicionado na parte inferior para amarrar a barra e o lesionado é posicionado na parte superior para segurar a barra, ao posicionar a barra na plataforma perdem o controle da barra movimentando-se 5 cm com o 2º dedo da mão direita contra as roldanas do quadro. No momento do acidente, o trabalhador usava luvas de segurança e a perfuratriz estava bloqueada."
37,2016-02-24 00:00:00,EUA,Arizona,Mineração,I - Muito Baixo,V - Muito Alto,Homem,Funcionário,Outros,Ao iniciar a atividade de retirada de uma bobina de cabos elétricos no armazém com o auxílio de empilhadeira o operador não percebeu que havia uma colmeia nela. Devido ao movimento da bobina as abelhas ficaram excitadas. Ao perceber o fato o operador desligou o equipamento e saiu do local. As pessoas que passavam foram picadas.
38,2016-02-24 00:00:00,EUA,Arizona,Mineração,I - Muito Baixo,V - Muito Alto,Mulher,Terceiro,Outros,Ao iniciar a atividade de retirada de uma bobina de cabos elétricos no armazém com o auxílio de empilhadeira o operador não percebeu que havia uma colmeia nela. Devido ao movimento da bobina as abelhas ficaram excitadas. Ao perceber o fato o operador desligou o equipamento e saiu do local. As pessoas que passavam foram picadas.
39,2016-02-24 00:00:00,Brasil,São Paulo,Mineração,I - Muito Baixo,IV - Alto,Homem,Funcionário,Outros,"Durante a inspeção pré-uso do equipamento Jumbo 15 (check list), o operador do equipamento encontra atrás do assento uma garrafa plástica contendo um líquido aparentemente água mineral, sem qualquer rótulo ou rotulagem. Pega a garrafa e toma um pequeno gole do líquido, expelindo-o imediatamente ao perceber que não era água, procede imediatamente à lavagem com água suficiente e é transferido ao centro médico para seu atendimento. O líquido com o qual teve contato é um produto engrasante de equipamentos e máquinas de baixa toxicidade."
40,2016-02-29 00:00:00,EUA,Texas,Mineração,II - Baixo,IV - Alto,Homem,Funcionário,Outros,"Durante a manutenção do rotor da bomba Flyght, a pressão do óleo da câmara de lubrificação fez com que a tampa da câmara fosse projetada em direção ao rosto do funcionário, atingindo-o superficialmente na testa, causando ferimentos."
41,2016-02-26 00:00:00,Brasil,Bahia,Metalurgia,I - Muito Baixo,IV - Alto,Homem,Terceiro (Remoto),Sistemas pressurizados / Substâncias químicas,"Aprox. às 11h22 há vazamento de dióxido de enxofre (SO2) do trecho 20/30 devido ao rompimento do selo d'água por sobrepressão da planta de ácido, naquele momento havia 13 colaboradores das empresas CORMEI, EISSA e COSAPI realizando trabalhos próximos à área impactada; que foram evacuados para o centro médico para serem cuidados e depois retornaram ao seu trabalho habitual."
42,2016-02-27 00:00:00,Brasil,São Paulo,Mineração,I - Muito Baixo,III - Médio,Homem,Terceiro,Outros,"Ao realizar o corte das malhas salientes nas empenas da obra, o carregador auxiliar posiciona-se a 1,40mt. no chão por meio de uma escada portátil que era segurada na base pelo mestre carregador, momento em que o auxiliar do carregador perde o equilíbrio e ao cair é segurado pela tela com a mão pendurada a 0,80m. do chão causando o ferimento."
43,2016-03-02 00:00:00,EUA,Nevada,Metalurgia,I - Muito Baixo,III - Médio,Homem,Funcionário,Prensado,"O operador estava no centro (Demag IV), realizando manutenção. Ao transportar o cilindro hidráulico com auxílio de outro operador o funcionário desequilibrava vindo o cilindro que carregava pressionar seu dedo (polegar esquerdo) contra o pilar de sustentação do forno especificado abaixo (figura)."
44,2016-03-02 00:00:00,Brasil,Bahia,Metalurgia,I - Muito Baixo,III - Médio,Homem,Funcionário,Bloqueio e isolamento de energias,"Durante o início do processo de lixiviação neutra, o funcionário Jhonatan procede à abertura da válvula de ar do tanque Airlift, circunstância em que a solução do processo retorna pela chaminé, entrando a solução em contato com o braço e o pé direito."
45,2016-03-03 00:00:00,Brasil,Minas Gerais,Mineração,I - Muito Baixo,III - Médio,Homem,Terceiro,Outros,"No momento em que dois auxiliares carregavam um saco de cimento de 42,5 kg até a lâmpada do carregador - suspenso a cerca de 10 cm do chão, o pé esquerdo de um dos auxiliares escorregou e bateu na ponta do bastão."
46,2016-03-04 00:00:00,Brasil,Bahia,Metalurgia,I - Muito Baixo,III - Médio,Homem,Funcionário,Ferramentas manuais,"O operador limpou com espátula lança através de uma das janelas da caldeira, nesse momento por ação de força atingiu o caixilho da janela, causando lesão no dedo mínimo da mão esquerda, o operador estava com todo EPP para limpeza da caldeira."
47,2016-03-05 00:00:00,Brasil,Minas Gerais,Mineração,I - Muito Baixo,IV - Alto,Homem,Funcionário,Outros,"A locomotiva nº 15, operada por pessoal da MAPERU, foi direcionada com 10 vagões carregados com minério da OP4 para a lixeira. Ao lado da lixeira, o carro-patrulha (que vai na traseira dos vagões) no momento em que passa por uma mudança de trilho, a roda traseira esquerda do carro-patrulha sai do trilho avançando a locomotiva deixando o carro-patrulha inclinado mais para frente. O motorista auxiliar que viajava sozinho na viatura permaneceu dentro da estrutura e sofreu leves escoriações."
48,2016-03-06 00:00:00,Brasil,Rio de Janeiro,Mineração,I - Muito Baixo,III - Médio,Homem,Funcionário,Outros,"Na cava 831 do nível 1910 quando foi realizada a perfuração radial de furos negativos com o equipamento simba M4C ITH nº 5, quando o auxiliar do operador do equipamento realizou a troca da broca, a barra metálica (martelo) é liberada do acoplamento da unidade de rotação e ao retirar abruptamente as mãos bate com o dorso da mão direita contra a estrutura da equipe. No momento do acidente a equipe estava paga."
49,2016-03-06 00:00:00,Brasil,Minas Gerais,Mineração,III - Médio,IV - Alto,Homem,Terceiro (Remoto),Outros,"No momento em que um trabalhador e outro sócio se preparavam para movimentar um cilindro de óleo (55 galões) sobre uma plataforma móvel montada sobre trilhos (plataforma com peso aproximado de 200 kg) ele descarrilou (sai do trilho). Para colocar a plataforma no carril, ambos os trabalhadores levantam a plataforma e nesses instantes a mão direita de um deles fica presa entre o carril e a estrutura da plataforma onde foi segurada (tubo metálico saliente da plataforma). Este acidente causou um ferimento machucado no dedo indicador da mão direita, não houve fratura. No momento do acidente, ambos usavam luvas de segurança tipo couro."
50,2016-03-09 00:00:00,Brasil,Bahia,Metalurgia,I - Muito Baixo,IV - Alto,Homem,Terceiro,Cargas suspensas,"O operador estava alimentando um saco grande contendo restos de folhas de Zn. Durante o içamento, esse saco carregado é liberado do gancho da talha, fazendo contato abrupto com o zinco líquido do forno, gerando uma explosão e fazendo com que o operador seja atingido pelo zinco líquido."
51,2016-03-11 00:00:00,Brasil,Minas Gerais,Mineração,III - Médio,V - Muito Alto,Homem,Terceiro,Outros,"Nas circunstâncias em que dois trabalhadores da empresa INCIMMET fizeram o carregamento de explosivos utilizando um equipamento anfoloader, numa frente de obra - sustentado com concreto projetadorepentinamente da parte superior direita da coroa, um pedaço de rocha de aprox. 9, kg, (0,2mx0,15mx0,10m), impactando no cesto e nas costas do figurante que estava no cesto suspenso a 2,2 m de altura, momentos depois um bloco de pedra se desprende da parede da empena aprox. 1.500kg. (1,20mx1,10mx0,40m), que impacta a equipe do ampoloader e parte deste bloqueio fere o operador da equipe do ampoloader que estava parado no solo. O equipamento anfoloader possui cabine com proteção ROPs e FOPs, no momento do acidente ambos os trabalhadores utilizavam capacetes e botas de segurança. Ambos sofreram poliontusões e pequenas lesões de escória."
52,2016-03-11 00:00:00,Brasil,Minas Gerais,Mineração,I - Muito Baixo,V - Muito Alto,Homem,Terceiro,Outros,"Nas circunstâncias em que dois trabalhadores da empresa INCIMMET efetuaram o carregamento de explosivos utilizando um equipamento anfoloader, numa frente de obra - sustentado com concreto projetado erepentinamente da parte superior direita da coroa, um pedaço de rocha de aprox. 9, kg, (0,2mx0,15mx0,10m), impactando no cesto e nas costas do figurante que estava no cesto suspenso a 2,2 m de altura, momentos depois um bloco de pedra se desprende da parede da empena aprox. 1.500kg. (1,20mx1,10mx0,40m), que impacta a equipe do ampoloader e parte deste bloqueio fere o operador da equipe do ampoloader que estava parado no solo. O equipamento anfoloader possui cabine com proteção ROPs e FOPs, no momento do acidente ambos os trabalhadores utilizavam capacetes e botas de segurança. Ambos sofreram poliontusões e pequenas lesões de escória."
53,2016-03-13 00:00:00,Brasil,Minas Gerais,Mineração,I - Muito Baixo,IV - Alto,Homem,Terceiro (Remoto),Outros,"O auxiliar mecânico após lançar ao solo os blocos de madeira de apoio do estabilizador do caminhão guindaste Hiab, ao descer do caminhão pela escada de acesso ao chegar no último degrau salta em direção ao solo - altura de 69cm - pisando na borda de um dos blocos de madeira causa uma lesão no tornozelo esquerdo."
54,2016-03-12 00:00:00,EUA,Arizona,Mineração,III - Médio,IV - Alto,Homem,Funcionário,Outros,"Ao deslocar manualmente um armário de aço para descarte com a ajuda de outro funcionário, o operador teve o dedo pressionado entre a parede e o armário causando ferimentos."
55,2016-03-14 00:00:00,Brasil,Bahia,Metalurgia,II - Baixo,III - Médio,Homem,Terceiro (Remoto),Substâncias químicas,"Durante a descarga dos resíduos, o operador procede à retirada de um saco que estava sob a mangueira enrolada, nesta circunstância uma das extremidades da mangueira se desloca no sentido do rosto do motorista, projetando o líquido contido nela e impactando-o na orelha e em parte do rosto."
56,2016-03-13 00:00:00,Brasil,Minas Gerais,Mineração,I - Muito Baixo,III - Médio,Homem,Funcionário,Outros,"Nas circunstâncias que o Operador 176 estava passando do nível 620 para o nível 640, ele notou que a tampa de inspeção da bomba hidráulica (18""x32""x3/8"", 15 Kg aprox.) estava prestes a cair, então ele parou o equipamento, aciona os gatos e sobe pela parte superior do equipamento e nos momentos que acomodou a tampa ela desliza em seu dedo médio causando o ferimento."
57,2016-03-16 00:00:00,Brasil,Rio de Janeiro,Mineração,I - Muito Baixo,II - Baixo,Homem,Terceiro,Outros,"Ao instalar o pino do escarificador do trator D6T-N1, o braço de suporte do escarificador desliza pressionando o segundo e terceiro dedos da mão direita contra a base do escarificador causando a lesão descrita."
58,2016-03-10 00:00:00,EUA,California,Metalurgia,I - Muito Baixo,II - Baixo,Homem,Funcionário,Prensado,"O funcionário relata que ao baixar os panos na purificação, arrumou o carrinho de forma que não agarrasse no cano, pressionando a mão esquerda entre os panos e o carrinho."
59,2016-03-17 00:00:00,Brasil,São Paulo,Mineração,I - Muito Baixo,II - Baixo,Homem,Terceiro,Outros,"Ao final do carregamento dos explosivos na frente de trabalho, o mestre carregador entra para verificar a amarração dos acessórios de detonação, ao se retirar do topo (1,5 m), ouve o som de fragmentos de rocha rolando pela malha de suporte, direciona seu olhar para a coroa em forma vertical, ponto em que um pequeno fragmento de rocha (2x3x2cm; 36gr) passa pelas aberturas da malha. impacto sustentado na testa. No momento do evento o colaborador utilizou seu capacete e lente de segurança e a frontal ficou com apoio na parte superior e malha de sacrifício. A abertura da malha de suporte é de 3"" x 3""."
60,2016-03-16 00:00:00,EUA,Nevada,Metalurgia,II - Baixo,II - Baixo,Homem,Funcionário,Ferramentas manuais,"O funcionário, ao realizar a operação de ajuste/aperto da lâmina de corte com a qual trabalhava, foi negligenciado, a chave escorregou, fazendo com que a lâmina do equipamento o atingisse, provocando um corte contundente em seu antebraço direito."
61,2016-03-18 00:00:00,Brasil,Rio de Janeiro,Mineração,IV - Alto,IV - Alto,Homem,Terceiro,Outros,"Aproximadamente às 11h50 em circunstâncias que os Srs. do caminhão guindaste) e William de la Cruz culminaram o embarque de 03 blocos de placas metálicas com peso aproximado de 1.800 Kg. Sr. William de the Cross (rigger) sobe no caminhão para retirar a tipoia, coloca os dois pés sob a maca que sustentava as placas metálicas. Nesse momento a parte central da maca se rompe, fazendo com que os dois pés fiquem presos causando a lesão."
62,2016-03-19 00:00:00,Brasil,São Paulo,Mineração,I - Muito Baixo,III - Médio,Homem,Funcionário,Outros,"Durante a colocação da última tela de malha de suporte da obra, nos momentos em que desde o solo o colaborador acidentado alcança a tela eletrossoldada até o operador da tesoura bolter posicionada no cesto, ao pressionar a tela, uma das extremidades salientes da tela, atravessa a luva de couro causando uma lesão na mão direita."
63,2016-03-14 00:00:00,EUA,California,Metalurgia,I - Muito Baixo,IV - Alto,Homem,Funcionário,Substâncias químicas,O funcionário verificou se havia vazamento de ácido na área de expedição quando foi atingido por respingos de solução na hemiface direita.
64,2016-03-18 00:00:00,EUA,California,Metalurgia,I - Muito Baixo,IV - Alto,Homem,Funcionário,Prevenção de queda (mesmo nível),"O funcionário estava retirando a bomba de zinco líquido do forno 04, quando pisou na plataforma e se desequilibrou com uma torção no pé esquerdo."
65,2016-03-18 00:00:00,EUA,California,Metalurgia,I - Muito Baixo,IV - Alto,Homem,Funcionário,Substâncias químicas,"O funcionário transitava em direção à fábrica de cádmio, próximo ao tanque 1.440 sobre sulfato de cobre, quando uma solução ácida derramou em sua direção, atingindo suas pernas causando pequenas queimaduras."
